"j","mu","sigma_2"
1,8.3906597153089,1.16204089311778e-05
2,-0.0164209875597725,0.00201784105905476
3,-0.00808268095338962,0.00232782439267835
4,0.00586966294083674,0.00136280492005993
5,0.0181866838290048,0.00229796839301592
6,-0.00730023200822562,0.0026416710912903
7,0.000818305582857126,0.00269521695742677
8,0.000115753513853761,0.00246524887789676
9,-0.027038676417643,0.00345785126965165
10,0.00350629527098187,0.00269190068846817
11,0.00192627877928555,0.00186841243299055
12,0.013357050225195,0.00249070638619578
13,-0.00285116541722171,0.00120410474427846
14,0.0209627898885774,0.0014066938471392
15,-0.0267027133976165,0.00289132719541486
16,-0.000408616563685021,0.00201870420974469
17,0.0110792165942719,0.00161470520276048
18,-0.00391446501122401,0.00171851269911836
19,-0.0194247888600349,0.00191891103655326
20,0.0191996456900215,0.00371971756948067
21,-0.0063346901062892,0.00199981020900582
22,0.00310636605463825,0.00228106937861383
23,-0.0068062602016523,0.00190237312513766
24,-0.00970959967756349,0.00270977759517008
25,-0.00419577871545596,0.00249981102168514
26,-0.0035277758018119,0.00283202836567155
27,0.000614400271223729,0.00169985144346114
28,-0.00872303233748868,0.00245188278564425
29,0.00593634274774776,0.00203371964313622
30,0.0097624305168486,0.00205992042883668
31,-0.00561691919123593,0.00200531016235973
32,-0.0447905585576273,0.00295472304269202
33,-0.00625462738554238,0.00189103928078433
34,0.00740561786846021,0.00251219009716102
35,0.010911819045577,0.00157713342124319
36,-0.00900935574040719,0.00181531263922403
37,0.0155078201861038,0.00214295645889659
38,-0.00345499962311766,0.00155592085165516
39,0.0119348422218746,0.00217450212795525
40,0.0156300276004533,0.00181340856464191
41,0.00388848444950964,0.00214039446434826
42,-0.0224261319636325,0.00154430782556167
43,-0.00149047932062529,0.0022294498336637
44,-0.0115711692788888,0.002193312123152
45,-0.00847781865093801,0.00224179361559797
46,-0.000476071207006098,0.00249810477245357
47,0.00922125182939587,0.00136499634143182
48,-0.0113389098776271,0.00165653627961214
49,0.0196997510350406,0.002705977514768
50,0.0121230392713953,0.00251094173218465
51,0.0291587321591159,0.00368223228298873
52,0.0115271450082012,0.00167697943364937
53,-0.00605036520602227,0.00242447684949825
54,0.000687113780670296,0.00164608747955666
55,0.00877542428569979,0.000984470514930668
56,0.0115939435386485,0.00276834295156344
57,-0.00572555058733164,0.00257563847641422
58,0.00670068804091332,0.00215156923522544
59,0.0132791464907379,0.00119139852369118
60,-0.0117612719543079,0.00122016475835979
61,0.0133094097609635,0.00258718048119773
62,0.0290013694699097,0.00205327003811536
63,-0.0134752356255519,0.00118604457042503
64,0.0269882488492777,0.00212335063784162
65,0.00304657295583814,0.00124891776348697
66,-0.00415006835052657,0.00128829777268103
67,-0.0311164341660849,0.00302468496574126
68,0.0114426757310104,0.0019921295125766
69,0.00341601756397245,0.00162462982060799
70,0.0114304868993374,0.00142135506478686
71,-0.00341589831069458,0.00187486637596658
72,-0.0406117689501028,0.00230443875728078
73,0.00865073750626927,0.00218385326534939
74,-0.0190028870714865,0.00162729102166239
75,-0.00658096343186947,0.00201127224510149
76,-0.00595357549842881,0.00213049451514749
77,-0.0343857688020896,0.00196176070770753
78,-0.0138011508554951,0.00193037726363496
79,0.00225686040415081,0.00195251386837569
80,0.000599089506473033,0.00126825016021851
81,-0.0117879471990855,0.00156998645763492
82,0.0117304543452725,0.00276509950168919
83,-0.0107397443835953,0.00231211231441485
84,0.00445397639899316,0.00264486966030679
85,0.00218710343623306,0.00259182189513716
86,-0.00892429559488851,0.00258920285374831
87,-0.00364344955992815,0.0018831235324892
88,-0.0158803163240988,0.00107286652886276
89,0.0161425331161701,0.00200414532947338
90,-0.00425653634010064,0.00123116819066724
91,-0.00328197135689591,0.0013366178652084
92,-0.00347533076101655,0.0016365454398252
93,-0.0133792881612643,0.00134186372652331
94,-0.00792930480146614,0.00082477468048634
95,-0.00348932058045308,0.00197047067940159
96,-0.00543302012697929,0.00223642386026098
97,0.0222526058915501,0.00132016464666718
98,0.00106695888404995,0.00186319609493402
99,-0.00549236941121819,0.00136850027166413
100,-0.00243064038006005,0.00129540819413121
101,-0.000852150709920013,0.00152635739999866
102,0.00823992108355708,0.00122568305506796
103,-0.0206833369743658,0.000761131533744481
104,0.0189421547660875,0.000708260207840391
105,-0.00563365090015254,0.00130930551698381
106,0.00438691562971417,0.00207087825605007
107,0.00869497341317566,0.00140390741139275
108,0.00330575152644153,0.00181299405603532
109,0.00143462270355601,0.00143786500433472
110,-0.00816355698994446,0.00229862158578169
111,-0.00183107753830609,0.00136810747006555
112,0.0139078424505279,0.00123890693032852
113,-0.00142228172299372,0.00100502392151333
114,-0.00976426870332701,0.000584243280528699
115,0.0258964351385046,0.00302172728797394
116,0.00410673429303445,0.00113716688965763
117,0.000146508033352208,0.00194891007362319
118,-0.00365500211848522,0.00144602518107595
119,-0.014308443271616,0.00160267168210082
120,-0.000919995527942228,0.00151624632955002
121,-0.00129881744629096,0.00249137663790194
122,0.00225205875606963,0.00146000868005791
123,-0.00657027065508438,0.00293140015014282
124,-0.0339075006720842,0.00282122984457433
125,-0.0214985060061904,0.000995606807578452
126,-0.0093474509633813,0.00115823963713326
127,0.0161585230395845,0.00211793637072087
128,-0.00370035291156673,0.00116829276587302
129,-0.00290698373586426,0.00135789233639756
130,0.00852809719070608,0.0021827748568862
131,-0.00362351697473008,0.0023236816521709
132,-0.00486977322889055,0.002975314832102
133,-0.01411963969265,0.00107151456054148
134,0.00144560434124607,0.00185731092641848
135,0.040227494078532,0.00190584946281161
136,-0.000119336167539229,0.00125753908516812
137,-0.00088426855219645,0.00100877841525583
138,-0.0144425245299699,0.00152904759429389
139,-0.00520295201989192,0.000699809478074264
140,0.0273818034350197,0.00198488792721278
141,0.0253331200123823,0.00180571314698631
142,0.0236966979457288,0.00150556629473214
143,0.00816010625275836,0.00229885345162556
144,0.0012111657356826,0.00169493678887606
145,-0.00423582784497077,0.00209210484844563
146,0.0222915956185742,0.00123651093652039
147,0.0065454301181727,0.001410682855397
148,0.0234393089621179,0.00251273376495428
149,0.00315044033272222,0.0017024634686144
150,-0.00794624498643268,0.00188009313945733
