j,mu,sigma_2
1,-0.000124401103398759,0.00105337786735532
2,-0.00536777907641459,0.0012858413368544
3,-0.146914263232394,0.00141168470131936
4,0.322357888759817,0.00163250142658068
5,0.198834819049408,0.00157456113991509
6,-0.387866984796525,0.0525219277927709
7,0.214783221929994,0.0350700872573361
8,0.0165896578756625,0.0138987507549692
9,0.0949594284822016,0.00905749771953221
10,0.426651562009976,0.00930721956105159
11,0.0417558107794219,0.00159944354881553
12,-0.363195025109798,0.00112044396356139
