"j","mu","sigma_2"
1,8.39067531497103,1.19962265025258e-05
2,-0.0160571042915336,0.00222861844723803
3,-0.00847718183807747,0.00256167467760008
4,0.00627323088480683,0.00151542173161919
5,0.0177166774943086,0.00248189635908276
6,-0.00728084435850824,0.00289335089805132
7,0.000715592487218977,0.00293922944997553
8,0.000143520414642727,0.00270662148933699
9,-0.0271394287011798,0.00375482229430632
10,0.00370334605630869,0.00294645947082094
11,0.00196812455512771,0.00208210504894066
12,0.0130828298380866,0.00277505272228663
13,-0.00286844092345184,0.0013313906014356
14,0.0207470025819035,0.00152832051052386
15,-0.0269816544508693,0.00320880423911296
16,-0.000497514579417974,0.0022473535612324
17,0.0111854108748276,0.00181316417809329
18,-0.00387667263335984,0.0018990799656654
19,-0.0194694006235179,0.00210416032266229
20,0.0195138709360204,0.00417090866404139
21,-0.00638426299795237,0.00221494375134473
22,0.00328174926448888,0.00251573616458943
23,-0.00695797667532312,0.00209885375867939
24,-0.00961638979890533,0.00297305407096177
25,-0.00441092106002378,0.00273464871494941
26,-0.00357862541261095,0.00318387702808682
27,0.000697963021658043,0.00186601553469643
28,-0.0089095411928247,0.00273419170529713
29,0.00565014414206016,0.00222448566409329
30,0.0101837944156038,0.002321182404163
31,-0.0056782816005837,0.00223052532578285
32,-0.0447568493976879,0.00329500970254282
33,-0.00636562513437294,0.00207889965629211
34,0.00769512388453003,0.00279287076231027
35,0.0111727993163506,0.00175643525106716
36,-0.00898765174993943,0.00206052595682605
37,0.0154872747749359,0.00238719219757872
38,-0.00350082502156679,0.00171720979998052
39,0.0122853578564402,0.00241308194180683
40,0.0153799441178381,0.00198632002759137
41,0.00412220480793769,0.00239280447881592
42,-0.02221765520393,0.00169490590534468
43,-0.00141843877311238,0.00244890270943862
44,-0.0116675720398593,0.00244080298778757
45,-0.00838875234751093,0.00250171876418624
46,-0.000752966146511214,0.00276902504382561
47,0.00916900710669095,0.00150901098393551
48,-0.0114336351420779,0.00180315484821607
49,0.0201293767368229,0.00297123889177734
50,0.0125310953264972,0.00280708633416469
51,0.0289605119821872,0.00404891419616586
52,0.0113089739825778,0.0018317116980879
53,-0.00649894817854906,0.00275581754585834
54,0.00083176157719122,0.00180536029366193
55,0.00903528704851269,0.00105919276368039
56,0.0115468527307845,0.00307544098345613
57,-0.00541177112184245,0.0028692511342739
58,0.00652309038984277,0.00237478607382406
59,0.0131927090343195,0.00131244267483899
60,-0.0119792309411091,0.00138615701558056
61,0.0136729709316219,0.00284254620430159
62,0.0291229898478135,0.00223276173993688
63,-0.0138103446129416,0.00129047122404607
64,0.0268710747457754,0.00231332457627431
65,0.0032369228014732,0.001359401626398
66,-0.00430762013038041,0.00137612765613661
67,-0.0312253856378992,0.00332367481847796
68,0.0116406167040963,0.00217417184976113
69,0.00363126260334599,0.00176722867828679
70,0.0115248997159519,0.00158433613805722
71,-0.00338011917810714,0.00206571733522421
72,-0.0404495830696657,0.00253892238815368
73,0.00896989091217354,0.00240877223200321
74,-0.019106010171432,0.00179508730444455
75,-0.00683598108800229,0.00224665240293161
76,-0.00603423158147897,0.0023946414563237
77,-0.0341635214478684,0.00212398131348103
78,-0.0136867993399231,0.0021048982020395
79,0.00224994544330168,0.00217178604813331
80,0.000958198483919656,0.00139440495315676
81,-0.0119886193881345,0.00171329962531026
82,0.0119122240898457,0.00302350666276514
83,-0.0109284320140782,0.00257521673400327
84,0.00472135387869756,0.00293852631444957
85,0.00236538230238894,0.00292641889109812
86,-0.00917615172016977,0.00279515821849873
87,-0.00381596235757312,0.00211612426118055
88,-0.0159406313369493,0.0011679802232304
89,0.0163862456736763,0.00222785169371832
90,-0.00440655035612227,0.00134470696676601
